예측유형,학교유형,학교명,SIG_KOR_NM,SIG_CD,년2023,년2024,년2025,년2026,년2027,년2028,년2029,년2030,년2031,년2032,년2033,년2034,년2035,년2036,년2037,년2038,년2039,년2040,년2041,년2042
무이동,초등학교,대구본리초등학교,달서구,27290,1167.128072,1107.730589,1033.387151,967.7978232,885.6207233,800.511237,728.5302724,669.0532946,627.0058348,604.043789,600.2893986,608.6026865,630.350585,664.6945762,702.2637149,736.9502344,767.6983058,793.7709562,814.6311074,827.5517504
무이동,초등학교,대구침산초등학교,북구,27230,1135.117114,1108.909789,1030.816193,960.868511,878.4741875,794.7454446,724.0864788,665.8875974,625.0250833,602.7125394,601.0495894,612.4910197,636.0469546,670.7562782,708.2747826,742.778921,773.2254402,798.8913647,819.2767683,831.6966083
무이동,초등학교,대구사월초등학교,수성구,27260,1209.316725,1117.101286,1041.081165,974.7798806,892.3877009,806.7463277,733.9710273,674.2015219,631.7715878,608.1351174,604.4706273,613.0821622,634.8622103,669.3525075,707.2107074,742.1702664,773.1645865,799.4503899,820.4865017,833.5688469
무이동,초등학교,대구세현초등학교,달성군,27710,1094.46851,1132.494932,1048.316003,973.6328756,889.0818713,806.0297736,736.1200704,678.0449565,638.7820145,619.776811,622.1236628,637.4834535,663.6942732,699.7234446,737.9281102,772.8066126,803.3203459,828.7834067,848.7430262,859.9693909
무이동,초등학교,대구남산초등학교,중구,27110,1038.688419,1165.545652,1081.610136,1007.333587,919.0973591,833.4678021,760.6725852,700.6354088,660.0425716,641.3135674,643.1423599,657.4627922,683.9852666,721.2873677,760.6774567,796.6637129,828.1687974,854.4988648,875.165574,886.5647577
무이동,초등학교,대구대실초등학교,달성군,27710,1258.992397,1198.00822,1118.074848,1045.132913,955.4697137,863.2294008,785.5514747,721.6916082,675.8925483,650.1674543,645.7107033,655.3033097,679.5804302,716.9837177,757.6371225,795.1778628,828.4626099,856.6810197,879.2517744,893.4934106
무이동,초등학교,대구대청초등학교,수성구,27260,1240.530261,1205.12612,1129.742322,1065.455683,980.0044659,883.0369383,800.2478667,731.660108,682.1212319,648.9044808,636.7573003,638.6088683,656.6583804,691.7993323,732.7571533,771.1079034,805.6534241,835.4826667,859.9137884,876.8067824
무이동,초등학교,대구월암초등학교,달서구,27290,1273.845008,1227.634598,1145.519227,1075.651565,986.7584174,891.191961,809.5039234,742.5727883,694.5278481,665.7437536,659.1355605,666.0056055,687.7618719,724.8223989,766.4464622,805.0699651,839.5027324,868.8942194,892.6143542,907.9502106
무이동,초등학교,대구신월초등학교,달서구,27290,1275.211364,1239.386245,1157.89264,1090.295238,1001.785275,904.2896573,820.6270988,751.823644,702.5414735,672.0605775,663.5846365,668.3336209,688.5350946,725.3095033,767.3500132,806.4873905,841.5086404,871.5359712,895.9084361,911.9299028
무이동,초등학교,대구비슬초등학교,달성군,27710,1316.870705,1279.488802,1189.171431,1109.423613,1014.724349,918.5099423,836.9923929,769.3883465,722.9380687,698.0027511,696.3161725,709.3266125,736.1801875,776.0703924,819.3365248,859.1091709,894.1867055,923.7456158,947.2134722,961.2286334
무이동,초등학교,대구세천초등학교,달성군,27710,1353.78716,1326.559874,1230.874793,1142.247339,1041.683505,943.7673474,862.3334903,793.9276772,747.8442106,725.7079821,727.5233495,745.2980198,776.7717922,819.3932833,864.2230604,905.158162,940.9839114,970.8823453,994.3205798,1007.617787
