A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2601, D151S,15.5,10,1.9,36, DK2,1, 사외, 내업의장,20240214, 선행의장,20240207,20240207,, 대조립(ASSEMBLY),20240304, 52B, 판넬조립부대조립과,,
 SN2601, D161P,15.1,10.2,1.9,40, UA,8, 사내, 내업의장,20240223,,,,, 대조립(ASSEMBLY),20240221, A2, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D161S,15.1,10,1.9,39, UA,7, 사내, 내업의장,20240223,,,,, 대조립(ASSEMBLY),20240221, A2, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D171P,20,10.3,1.9,50, 3L,12, 사내, 내업의장,20240221, 선행의장,20240219,20240220,, 대조립(ASSEMBLY),20240304, 52A, 판넬조립부대조립과,,
 SN2601, D171S,20,20.3,1.9,48, HSG2,1, 사외, 내업의장,20240221, 조립,20240214,20240214,, 대조립(ASSEMBLY),20240304, 52A, 판넬조립부대조립과,20240301,
 SN2601, D191P,,,,, 판넬조립부, 51BAY,,,, 조립,20240222,20240222,,,,,,,
 SN2601, D191S,,,,, 판넬조립부, 51BAY,,,, 조립,20240222,20240222,,,,,,,
 SN2601, D211P,19.8,10.2,1.9,49, 판넬조립부, 51BAY,,,, 조립,20240221,20240221,, 선행의장,20240222,,,20240222,
 SN2601, D211S,,,,, 판넬조립부, 51BAY,,,, 조립,20240222,20240222,,,,,,,
 SN2601, D310P,19.7,13.6,5.3,34, 3J,12, 사내, 내업의장,20240227, 조립,20240207,20240206,, 도장(Paint),20240311, H, 선행도장부선행도장2과,20240217,
 SN2601, D310S,19.7,13.6,5.3,34, 3J,5, 사내, 내업의장,20240223, 조립,20240208,20240208,, 도장(Paint),20240311, 3K, 선행도장부선행도장1과,20240215,
 SN2601, D320P,15.9,13.5,4.4,25, HZ04,2, 사내, 대조립(ASSEMBLY),20240206,,,,, 내업의장,20240227, UA, 전략생산팀(의장그룹)의장3과,,
 SN2601, D320S,15.9,13.5,4.4,26, OBI,2, 사외, 대조립(ASSEMBLY),20240208,,,,, 내업의장,20240223, UA, 전략생산팀(의장그룹)의장3과,,
 SN2601, D340P,20.1,13.5,4.4,33, 3L,6, 사내, 대조립(ASSEMBLY),20240214, 조립,20240214,20240214,, 내업의장,20240221, 3J, 선행의장부선행의장1과,20240216,
 SN2601, D340S,20.1,13.5,4.4,34, 3L,6, 사내, 대조립(ASSEMBLY),20240215, 조립,20240215,20240214,, 내업의장,20240221, 3J, 선행의장부선행의장1과,20240216,
 SN2601, D350P,15.5,13.5,4.4,27, A4,9, 사내, 대조립(ASSEMBLY),20240223,,,,, 내업의장,20240311, UA, 전략생산팀(의장그룹)의장3과,,
 SN2601, D361P,15.1,14.4,4.7,37, ID,5, 사내, 내업의장,20240221,,,,, 대조립(ASSEMBLY),20240216, A4, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D361S,15.1,13.7,4.1,37, UC,7, 사내, 내업의장,20240221,,,,, 대조립(ASSEMBLY),20240215, A4, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D371P,20,13.7,4.1,49, 3R51,3, 사내, 내업의장,20240220, 선행의장,20240216,20240222,, 대조립(ASSEMBLY),20240223, 52A, 판넬조립부대조립과,,
 SN2601, D371S,20,13.7,4.1,49, 3J,13, 사내, 내업의장,20240222, 선행의장,20240221,20240222,, 대조립(ASSEMBLY),20240223, 52B, 판넬조립부대조립과,,
 SN2601, D381P,15.4,13.8,4.1,39, UC,2, 사내, 내업의장,20240222,,,,, 대조립(ASSEMBLY),20240222, A4, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D381S,15.4,13.8,4.1,39, UC,3, 사내, 내업의장,20240222,,,,, 대조립(ASSEMBLY),20240223, A4, [가상]전략생산팀(가공그룹)조립1과,,
 SN2601, D391P,14.9,13.7,4.1,38, GA,4, 사내, 내업의장,20240226,,,,, 대조립(ASSEMBLY),20240226, A4, [가상]전략생산팀(가공그룹)조립1과,,
