A.PROJ_NO,A.BLK_NO,A.LTH,A.BTH,A.HGT,A.NET_WGT,WKA_CD,DTL_ARNO_CD,IN_OUT_AREA,A.IA_NOW_P_STG,A.IA_NOW_FNDT,LOGI_CHK_DESC,LOGI_CHK_DT,LOGI_UPLOAD_DT,후공정 대기 기간,AF_CODE_DESC,IA_AF_STDT,IA_AF_WKA_NM,IA_AF_WK_CENT_DSC,EXP_PRE_OUTFIT_STDT,A.IA_AF_STDT
 SN2607, B131S,20.8,12.3,3.2,96, DK2,1, 사외, 내업의장,20240220, 조립,20240214,20240214, -1일, 대조립(ASSEMBLY),20240222, 52B, 판넬조립부대조립과,,
 SN2607, B141S,20.4,12.3,3.2,85, HSG2,1, 사외, 내업의장,20240222, 조립,20240216,20240215, 3일, 대조립(ASSEMBLY),20240226, 52B, 판넬조립부대조립과,,
 SN2607, D111P,19.6,10.4,3.6,42, 62BAY,1, 사내, 중조(MID ASSEMBLY),20240223,,,, 3일, 내업의장,20240226, 3J, 선행의장부선행의장1과,,
 SN2607, D311P,19.6,13.8,4.9,46, 판넬조립부, 51BAY,,,, 조립,20240221,20240221, 0일, 선행의장,20240223,,,20240223,
 SN2607, D311S,19.6,13.8,4.9,47, 판넬조립부, 51BAY,,,, 조립,20240221,20240221, 0일, 선행의장,20240223,,,20240223,
 SN2607, D32AP,16,4.5,2.2,14, N2BAY,1, 사내, 선행중조,20240206,,,,, 중조(MID ASSEMBLY),20240216, N2, [가상]전략생산팀(가공그룹)조립2과,,
 SN2607, D32AS,16,4.5,2.2,15, N2BAY,1, 사내, 선행중조,20240206,,,,, 중조(MID ASSEMBLY),20240215, N2, [가상]전략생산팀(가공그룹)조립2과,,
 SN2607, D36AS,14.9,4.6,2.2,15, VB,9, 사내, 선행중조,20240223,,,,, 중조(MID ASSEMBLY),20240229, N2, [가상]전략생산팀(가공그룹)조립2과,,
 SN2607, D511S,3.1,8,2.4,6, DK2,1, 사외, 내업의장,20240214, 선행의장,20240216,20240219,, 대조립(ASSEMBLY),20240304, 51A, 판넬조립부중조립과,,
 SN2607, D512S,2.5,8,2.4,2, PS2,9, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240304, 51A, 판넬조립부중조립과,20240222,
 SN2607, D513S,5.7,8,2.4,7, PS2,9, 사내, 내업의장,20240222,,,,, 대조립(ASSEMBLY),20240304, 51A, 판넬조립부중조립과,20240222,
 SN2607, D521S,2.5,8,2.4,5, PS2,8, 사내, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240305, 51A, 판넬조립부중조립과,,
 SN2607, D522S,2.5,8,2.4,5, PS2,6, 사내, 내업의장,20240221,,,,, 대조립(ASSEMBLY),20240305, 51A, 판넬조립부중조립과,20240222,
 SN2607, D620S,14.6,11.3,2.2,23, 3I,18, 사내, 내업의장,20240219,,,,, 도장(Paint),20240226, 3K, 선행도장부선행도장1과,,
 SN2607, E110P,17.4,16.6,7.8,27, PT3,6, 사내, 도장(Paint),20240222,,,,, UNIT 의장,20240226, Z, 구매공통작업장,,
 SN2607, E110S,17.4,16.6,7.8,26, 3R43,15, 사내, 도장(Paint),20240219, 도장,20240220,20240220,, UNIT 의장,20240226, Z, 구매공통작업장,,
 SN2607, E120P,8.9,11.2,6.7,2, HA,8, 사내, 도장(Paint),20240222, 도장,20240222,20240222,, UNIT 의장,20240226, Z, 구매공통작업장,,
 SN2607, E120S,8.9,11.2,6.7,2, 3Q,4, 사내, 도장(Paint),20240220, 도장,20240221,20240221,, UNIT 의장,20240226, Z, 구매공통작업장,,
 SN2607, E140C,15.2,11.7,6.8,66, 3L,3, 사내, 도장(Paint),20240221, 도장,20240219,20240219,, UNIT 의장,20240226, Z, 구매공통작업장,,
 SN2607, E150C,11.6,14.1,5,39, S1A,9, 사내, 선행의장(OUTFITTING),20240222,,,,, 도장(Paint),20240228, FP, 선행도장부선행도장3과,,
 SN2607, E21PP,24.8,13.4,5.7,0, HND,6, 사내, PE(PRE-ERECTION),20240208,,,,, 도장(Paint),20240304, H, 선행도장부선행도장2과,,
 SN2607, E21PS,24.8,13.4,5.7,0, HND,4, 사내, PE(PRE-ERECTION),20240214,,,,, 도장(Paint),20240305, 3K, 선행도장부선행도장1과,,
 SN2607, E230P,17.1,12.5,5.1,27, HND,9, 사내, 선행의장(OUTFITTING),20240227,,,,, 도장(Paint),20240305, H, 선행도장부선행도장2과,,
 SN2607, E230S,17.1,12.5,5.1,27, HND,29, 사내, 선행의장(OUTFITTING),20240220,,,,, 도장(Paint),20240308, 3K, 선행도장부선행도장1과,,
 SN2607, E24PC,24.8,20.8,4,0, HNB,2, 사내, PE(PRE-ERECTION),20240304,,,,, 도장(Paint),20240307, 3K, 선행도장부선행도장1과,,
 SN2607, E310P,14.9,13.3,4.8,24, UA,1, 사내, 대조립(ASSEMBLY),20240207,,,,, 선행의장(OUTFITTING),20240223, S1, 전략생산팀(의장그룹)의장3과,,
 SN2607, E310S,14.9,13.3,4.8,24, OB,3, 사내, 대조립(ASSEMBLY),20240208,,,,, 선행의장(OUTFITTING),20240223, S1, 전략생산팀(의장그룹)의장3과,,
 SN2607, E320P,12.1,15.4,4.9,27, HNE,14, 사내, 선행의장(OUTFITTING),20240216,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2607, E320S,12.1,15.7,4.9,29, HNE,11, 사내, 선행의장(OUTFITTING),20240216,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2607, E330P,14.8,14.4,5.4,36, HNE,4, 사내, 선행의장(OUTFITTING),20240221,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2607, E330S,14.8,14.4,5.4,33, HND,28, 사내, 선행의장(OUTFITTING),20240219,,,,, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2607, E340C,16.9,19.4,4.9,57, HNRD01,20, 사내, 선행의장(OUTFITTING),20240307,,,,, 올리기(BLOCK LIFT UP),20240312,,,,
 SN2607, E350C,12.3,15.1,4.9,36, HND,10, 사내, 선행의장(OUTFITTING),20240307,,,,, 올리기(BLOCK LIFT UP),20240312,,,,
 SN2607, E360C,10,4.9,1.9,9, HND,24, 사내, 대조립(ASSEMBLY),20240207,,,,, 선행의장(OUTFITTING),20240222, HN, 선행의장부신한내의장과,,
 SN2607, E370C,6,18.8,2.9,17, HND,30, 사내, 선행의장(OUTFITTING),20240227,,,,, 도장(Paint),20240314, 3K, 선행도장부선행도장1과,,
 SN2607, E380C,3.6,18.8,3.5,14, HND,25, 사내, 선행의장(OUTFITTING),20240226,,,,, 도장(Paint),20240313, 3K, 선행도장부선행도장1과,,
 SN2607, E430C,20.7,14.8,5.7,74, 3I,8, 사내, 선행의장(OUTFITTING),20240304,,,,, 도장(Paint),20240308, 3K, 선행도장부선행도장1과,,
 SN2607, E440C,21,14.8,5.7,79,68,3, 사내, 선행의장(OUTFITTING),20240304,,,,, 도장(Paint),20240307, 3K, 선행도장부선행도장1과,,
 SN2607, E520P,21.1,13.7,5.6,78, 3I,12, 사내, 선행의장(OUTFITTING),20240306,,,,, 도장(Paint),20240312, H, 선행도장부선행도장2과,,
 SN2607, E520S,21.1,13.7,5.3,69, 53BAY,1, 사내, 대조립(ASSEMBLY),20240219,,,,, 선행의장(OUTFITTING),20240229, 3I, 선행의장부선행의장2과,,
 SN2607, F111P,14.1,12.3,3.5,36, NC,1, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240220, A1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2607, F111S,14.1,12.3,3.5,28, NB,4, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240216, A3, [가상]전략생산팀(가공그룹)조립3과,,
 SN2607, F42BP,8.1,6.9,3.3,7, 2B7,1, 사내, 선행중조,20240215,,,,, 중조(MID ASSEMBLY),20240219, FB6A, 해)조립부조립3과,,
 SN2607, F42BS,8.1,6.9,3.3,8, 2B7,1, 사내, 선행중조,20240215,,,,, 중조(MID ASSEMBLY),20240222, FB6B, 해)조립부조립3과,,
 SN2607, F521P,14.7,8.4,3,14, OFD,1, 사내, 내업의장,20240216,,,,, 대조립(ASSEMBLY),20240229, 63A, 조립부조립2과,,
 SN2607, F521S,14.7,8.4,3,14, OFD,1, 사내, 내업의장,20240216,,,,, 대조립(ASSEMBLY),20240311, 63A, 조립부조립2과,,
 SN2607, H111P,21.5,5.8,4.9,45, BNG9,1, 사외, 내업의장,20240131,,,,, 대조립(ASSEMBLY),20240219, FA4, 해)조립부조립2과,,
 SN2607, H111S,21.5,5.8,4.9,45, BNG9,1, 사외, 내업의장,20240130,,,,, 대조립(ASSEMBLY),20240219, FA4, 해)조립부조립2과,,
 SN2607, H121P,21.5,7.6,5,45, BNG9RD,1, 사외, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240220, FA4, 해)조립부조립2과,,
 SN2607, H121S,21.5,7.6,5,45, BNG9,1, 사외, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240220, FA4, 해)조립부조립2과,,
 SN2607, H122P,21.5,6.9,5.4,48, BNG9,2, 사외, 내업의장,20240215,,,,, 대조립(ASSEMBLY),20240220, FA4, 해)조립부조립2과,,
 SN2607, H122S,21.5,6.9,5.4,48, BNG9,2, 사외, 내업의장,20240215,,,,, 대조립(ASSEMBLY),20240220, FA4, 해)조립부조립2과,,
 SN2607, H141P,20.4,7.2,4.9,42, BNG9,1, 사외, 내업의장,20240207,,,,, 대조립(ASSEMBLY),20240223, FA31, 해)조립부조립2과,,
 SN2607, H141S,20.4,7.2,4.9,42, BNG9,1, 사외, 내업의장,20240207,,,,, 대조립(ASSEMBLY),20240223, FA31, 해)조립부조립2과,,
 SN2607, M110P,10.2,21.3,6.2,83, 8QC,8, 사내, 올리기(BLOCK LIFT UP),20240124,,,,,,,,,,
 SN2607, M110S,10.2,21.2,6.2,80, 8QC,8, 사내, 올리기(BLOCK LIFT UP),20240124,,,,,,,,,,
 SN2607, M11UC,22.9,45.8,22.8,0, SGB,1, 사내, PE(PRE-ERECTION),20240329,,,,, 도장(Paint),20240405, SGB, 선실부선실2과,,
 SN2607, M120P,12.9,19,6.2,66, 57D,1, 사내, 올리기(BLOCK LIFT UP),20240125,,,,,,,,,,
 SN2607, M120S,12.9,19.2,6.2,58, 57D,1, 사내, 올리기(BLOCK LIFT UP),20240125,,,,,,,,,,
 SN2607, M210P,10.2,19.7,3.6,54, 57C,7, 사내, 올리기(BLOCK LIFT UP),20240201,,,,,,,,,,
 SN2607, M210S,10.2,19.6,3.6,54, SGH,1, 사내, 올리기(BLOCK LIFT UP),20240201,,,,,,,,,,
 SN2607, M220P,11.7,17.5,3.6,34, 57C,6, 사내, 올리기(BLOCK LIFT UP),20240202,,,,,,,,,,
 SN2607, M220S,11.7,17.5,3.6,33, 57C,4, 사내, 올리기(BLOCK LIFT UP),20240202,,,,,,,,,,
 SN2607, M310P,22.9,17.5,3.6,69, 57D,4, 사내, 올리기(BLOCK LIFT UP),20240207,,,,,,,,,,
 SN2607, M310S,22.9,17.5,3.6,68, SGO,6, 사내, 올리기(BLOCK LIFT UP),20240207,,,,,,,,,,
 SN2607, M410P,21.7,17.5,3.6,65, 57D,2, 사내, 올리기(BLOCK LIFT UP),20240219,,,,,,,,,,
 SN2607, M410S,21.7,17.5,3.6,64, 57D,3, 사내, 올리기(BLOCK LIFT UP),20240219,,,,,,,,,,
 SN2607, M510P,21.5,17.5,4.4,79, SGO,10, 사내, 선행의장(OUTFITTING),20240220,,,,, 도장(Paint),20240215, SGH, 선실부선실2과,,
 SN2607, M510S,22.7,17.4,4.4,77, SGO,14, 사내, 선행의장(OUTFITTING),20240220,,,,, 도장(Paint),20240215, SGH, 선실부선실2과,,
 SN2607, M610C,15.3,20.4,3.4,56, 57C,5, 사내, 선행의장(OUTFITTING),20240227,,,,, 도장(Paint),20240222, SGH, 선행도장부선행도장1과,,
 SN2607, S111P,21.3,15.4,2.6,96, 3L,12, 사내, 내업의장,20240222, 선행의장,20240220,20240220,, 대조립(ASSEMBLY),20240226, 52A, 판넬조립부대조립과,,
 SN2607, S111S,21.3,15.4,2.6,96, 3L,12, 사내, 내업의장,20240222, 선행의장,20240220,20240220,, 대조립(ASSEMBLY),20240226, 52B, 판넬조립부대조립과,,
 SN2607, S112P,21.3,6.2,3.9,21, PS2,11, 사내, 내업의장,20240205,,,,, 대조립(ASSEMBLY),20240226, 52A, 판넬조립부대조립과,,
 SN2607, S112S,21.3,6.2,3.9,21, PS2,11, 사내, 내업의장,20240205,,,,, 대조립(ASSEMBLY),20240226, 52B, 판넬조립부대조립과,,
 SN2607, S113P,20.7,5.5,2.4,32, 3N,5, 사내, 내업의장,20240208, 선행의장,20240221,20240222,, 대조립(ASSEMBLY),20240226, 52A, 판넬조립부대조립과,,
 SN2607, S113S,20.7,5.5,2.7,32, 3N,5, 사내, 내업의장,20240214, 선행의장,20240221,20240222,, 대조립(ASSEMBLY),20240226, 52B, 판넬조립부대조립과,,
 SN2607, S121P,21.5,15.4,2.6,94, 3M,23, 사내, 중조(MID ASSEMBLY),20240220, 조립,20240220,20240220,, 내업의장,20240221, 3J, 선행의장부선행의장1과,20240221,
 SN2607, S121S,21.5,15.4,2.6,91, 3M,17, 사내, 내업의장,20240223, 조립,20240219,20240220,, 대조립(ASSEMBLY),20240304, 52B, 판넬조립부대조립과,20240221,
 SN2607, S122P,21.5,5.7,3.9,20, HZ05,3, 사내, 내업의장,20240208,,,,, 대조립(ASSEMBLY),20240304, 52A, 판넬조립부대조립과,,
 SN2607, S122S,21.5,5.7,3.9,20, HZ05,4, 사내, 내업의장,20240208,,,,, 대조립(ASSEMBLY),20240304, 52B, 판넬조립부대조립과,,
 SN2607, S131P,20.8,15.4,2.6,95, 판넬조립부, 51BAY,,,, 조립,20240220,20240221,, 선행의장,20240222,,,20240222,
 SN2607, S131S,20.8,15.4,2.6,95, 3M,24, 사내, 중조(MID ASSEMBLY),20240220, 조립,20240220,20240220,, 내업의장,20240221, 3J, 선행의장부선행의장1과,20240221,
 SN2607, S132P,20.8,5.7,3.9,20, PS2,3, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240228, 52A, 판넬조립부대조립과,,
 SN2607, S132S,20.8,5.7,3.9,20, PS2,3, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240228, 52B, 판넬조립부대조립과,,
 SN2607, S141S,20.4,15.4,2.6,88, 판넬조립부, 51BAY,,,, 조립,20240221,20240221,,,,,,,
 SN2607, S142P,20.4,5.7,3.9,20, PS2,5, 사내, 내업의장,20240216,,,,, 대조립(ASSEMBLY),20240228, 52A, 판넬조립부대조립과,,
 SN2607, S142S,20.4,5.7,3.9,20, PS2,5, 사내, 내업의장,20240216,,,,, 대조립(ASSEMBLY),20240228, 52B, 판넬조립부대조립과,,
 SN2607, T110P,15,15.3,2.7,70, 3J,1, 사내, 대조립(ASSEMBLY),20240215,,,,, 내업의장,20240229, 3J, 선행의장부선행의장1과,,
 SN2607, T110S,15,15.3,2.7,84, OB,2, 사내, 대조립(ASSEMBLY),20240216,,,,, 내업의장,20240229, 3J, 선행의장부선행의장1과,20240222,
 SN2607, T121P,13.4,16.4,2.9,78, OFD,1, 사내, 내업의장,20240221, 조립,20240215,20240214,, 대조립(ASSEMBLY),20240223, 52A, 판넬조립부대조립과,20240216,
 SN2607, T121S,13.4,15.5,2.9,71, OFD,1, 사내, 내업의장,20240220, 조립,20240214,20240214,, 대조립(ASSEMBLY),20240223, 52B, 판넬조립부대조립과,20240216,
 SN2607, T321P,17.4,16.4,2.8,82, 3J,13, 사내, 내업의장,20240221, 선행의장,20240221,20240222,, 대조립(ASSEMBLY),20240223, 52A, 판넬조립부대조립과,,
 SN2607, T510P,5.4,5.7,2.7,7, 3R46,1, 사내, 대조립(ASSEMBLY),20240219,,,,, 내업의장,20240219, 3J, 선행의장부선행의장1과,,
 SN2607, T510S,5.4,5.7,2.7,7, 3R46,1, 사내, 대조립(ASSEMBLY),20240219,,,,, 내업의장,20240219, 3J, 선행의장부선행의장1과,,
 SN2608, A311P,19,6,4.3,30, DK1,1, 사외, 내업의장,20240205,,,,, 대조립(ASSEMBLY),20240219, 53A, 조립부조립3과,,
 SN2608, A311S,19,6,4.3,27, DK1,1, 사외, 내업의장,20240205,,,,, 대조립(ASSEMBLY),20240223, 53C, 조립부조립3과,,
 SN2608, A313P,5.4,15.2,3.4,20, HZ02,12, 사내, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240219, 53A, 조립부조립3과,,
 SN2608, A313S,5.4,15.2,3.4,16, HZ02,12, 사내, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240223, 53C, 조립부조립3과,,
 SN2608, B191P,15.5,3.6,3.2,17, PS3,8, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240308, 67A, 조립부조립4과,,
 SN2608, B191S,15.5,3.6,3.2,17, PS3,8, 사내, 내업의장,20240220,,,,, 대조립(ASSEMBLY),20240308, 67A, 조립부조립4과,,
 SN2608, B19AP,15.5,7.7,5.3,40, PS4,1, 사내, 선행중조,20240207,,,,, 중조(MID ASSEMBLY),20240221, 67A, 조립부조립4과,,
 SN2608, B19AS,15.5,7.7,5.3,40, PS3,11, 사내, 선행중조,20240207,,,,, 중조(MID ASSEMBLY),20240221, 67A, 조립부조립4과,,
 SN2608, B19BP,15.9,13.1,5.5,50, OBI3,5, 사외, 내업의장,20240214,,,,, 중조(MID ASSEMBLY),20240221, 67A, 조립부조립4과,,
 SN2608, B19BS,15.9,13.1,5.5,50, OBI3,4, 사외, 내업의장,20240208,,,,, 중조(MID ASSEMBLY),20240221, 67A, 조립부조립4과,,
 SN2608, E110P,17.4,16.6,7.8,27,68,8, 사내, 선행의장(OUTFITTING),20240226,,,,, 도장(Paint),20240229, H, 선행도장부선행도장2과,,
 SN2608, E110S,17.4,16.6,7.8,26,68,4, 사내, 선행의장(OUTFITTING),20240226,,,,, 도장(Paint),20240304, 3K, 선행도장부선행도장1과,,
 SN2608, E151C,10.8,11.5,2.7,32, UA,10, 사내, 내업의장,20240226,,,,, 대조립(ASSEMBLY),20240227, C2, [가상]전략생산팀(가공그룹)조립2과,,
 SN2608, E211S,14.9,3.3,3.4,16, VB,14, 사내, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240216, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2608, E212P,15.1,4.7,3.8,17, VA,11, 사내, 내업의장,20240214,,,,, 대조립(ASSEMBLY),20240215, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2608, E212S,15.1,4.7,3.4,17, UE,19, 사내, 내업의장,20240208,,,,, 대조립(ASSEMBLY),20240216, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2608, E221P,10.5,8.3,4.9,15, UF,3, 사내, 중조(MID ASSEMBLY),20240206,,,,, 대조립(ASSEMBLY),20240208, A3, [가상]전략생산팀(가공그룹)조립3과,,
 SN2608, E240C,15,20.9,4,73, OA,6, 사내, 대조립(ASSEMBLY),20240214,,,,, 선행의장(OUTFITTING),20240223, HN, 선행의장부신한내의장과,,
 SN2608, E321P,7.7,4.8,3.1,13, 21BAY,1, 사내, 내업의장,20240215,,,,, 대조립(ASSEMBLY),20240221, N3, [가상]전략생산팀(가공그룹)조립1과,,
 SN2608, E321S,4.5,4.8,3.1,8, 21BAY,1, 사내, 내업의장,20240216,,,,, 대조립(ASSEMBLY),20240221, N3, [가상]전략생산팀(가공그룹)조립1과,,
 SN2608, E431C,14.8,5.7,3.4,11, OFD,1, 사내, 내업의장,20240216,,,,, 대조립(ASSEMBLY),20240227, 67A, 조립부조립4과,,
 SN2608, E432P,5.9,5.7,2.3,7, PS2,9, 사내, 내업의장,20240202,,,,, 대조립(ASSEMBLY),20240227, 67A, 조립부조립4과,,
 SN2608, E531C,16.1,19,1.8,54, HSG2,1, 사외, 내업의장,20240229,,,,, 대조립(ASSEMBLY),20240228, 53E, 조립부조립3과,,
 SN2608, F11AP,16.1,5,2.6,18, UF,3, 사내, 선행중조,20240214,,,,, 중조(MID ASSEMBLY),20240223, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2608, F11AS,16.1,5,2.6,18, VB,15, 사내, 선행중조,20240208,,,,, 중조(MID ASSEMBLY),20240226, N1, [가상]전략생산팀(가공그룹)조립3과,,
 SN2608, H170P,20.4,11.2,5.9,33, HZ05,23, 사내,,,,,,,,,,,,
 SN2608, H170S,20.4,11.2,5.9,33, HZ05,13, 사내,,,,,,,,,,,,
 SN2608, K181C,14.9,12,3.2,68, 3J,10, 사내, 내업의장,20240227, 조립,20240217,20240219, -3일, 대조립(ASSEMBLY),20240305, 52A, 판넬조립부대조립과,20240220,
 SN2608, M110P,10.2,21.3,6.2,83, OD,16, 사내, 선행의장(OUTFITTING),20240229,,,, 3일, 도장(Paint),20240226, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M110S,10.2,21.2,6.2,80, OD,15, 사내, 선행의장(OUTFITTING),20240229,,,, 3일, 도장(Paint),20240226, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M120P,12.9,19,6.2,66, OD,32, 사내, 선행의장(OUTFITTING),20240305,,,, 5일, 도장(Paint),20240228, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M120S,12.9,19.2,6.2,58, OD,31, 사내, 선행의장(OUTFITTING),20240305,,,, 5일, 도장(Paint),20240228, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M210P,10.2,19.7,3.6,54, OD,28, 사내, 선행의장(OUTFITTING),20240308,,,, 11일, 도장(Paint),20240305, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M210S,10.2,19.6,3.6,54, OD,27, 사내, 선행의장(OUTFITTING),20240308,,,, 11일, 도장(Paint),20240305, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M220P,11.7,17.5,3.6,34, OD,20, 사내, 선행의장(OUTFITTING),20240311,,,, 12일, 도장(Paint),20240306, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M220S,11.7,17.5,3.6,33, OD,19, 사내, 선행의장(OUTFITTING),20240311,,,, 12일, 도장(Paint),20240306, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M310P,22.9,17.5,3.6,69, HSG2,1, 사외, 선행의장(OUTFITTING),20240315,,,, 18일, 도장(Paint),20240312, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M310S,22.9,17.5,3.6,68, HSG2,1, 사외, 선행의장(OUTFITTING),20240315,,,, 18일, 도장(Paint),20240312, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, M410P,21.7,17.5,3.6,65, HSG2,1, 사외, 대조립(ASSEMBLY),20240214,,,, 0일, 선행의장(OUTFITTING),20240223, OD, 전략생산팀(전계장그룹)선실과,,
 SN2608, S13AP,20.8,5.4,2.7,24, 61BAY,1, 사내, 선행중조,20240227,,,, 5일, 내업의장,20240228, 3J, 선행의장부선행의장1과,,
 SN2608, S13AS,20.8,5.4,2.7,24, 61BAY,1, 사내, 선행중조,20240227,,,, 5일, 내업의장,20240228, 3J, 선행의장부선행의장1과,,
 SN2608, S16AP,19.5,5.4,2.7,20, 3I,4, 사내, 내업의장,20240215, 선행의장,20240213,20240214, -7일, 중조(MID ASSEMBLY),20240216, 61A, 조립부조립1과,,
 SN2608, S16AS,19.5,5.4,2.7,20, 3I,4, 사내, 내업의장,20240215, 선행의장,20240213,20240214, -7일, 중조(MID ASSEMBLY),20240216, 61A, 조립부조립1과,,
 SN2608, S17AP,20.4,5.4,2.7,22, 61BAY,1, 사내, 내업의장,20240206,,,, -7일, 중조(MID ASSEMBLY),20240216, 61A, 조립부조립1과,,
 SN2608, S17AS,20.4,5.4,2.7,22, 61BAY,1, 사내, 내업의장,20240206,,,, -7일, 중조(MID ASSEMBLY),20240216, 61A, 조립부조립1과,,
 SN2609, E11CP,7,4.6,2.9,13, OFD,1, 사내, 선행중조,20240219,,,, 10일, 중조(MID ASSEMBLY),20240304, 53A, 조립부조립3과,,
 SN2609, E11CS,7,4.6,2.9,13, OFD,1, 사내, 선행중조,20240219,,,, 10일, 중조(MID ASSEMBLY),20240304, 53C, 조립부조립3과,,
 SN2611, A21GC,18,40.5,8,0, HNB,14, 사내, PE(PRE-ERECTION),20240223,,,, 0일, 올리기(BLOCK LIFT UP),20240223,,,,
 SN2611, A31GC,19.5,40.9,6,0, 3K,1, 사내, 도장(Paint),20240220, 도장,20240221,20240221, -1일, 올리기(BLOCK LIFT UP),20240222,,,,
 SN2611, B11GP,21.7,23,8.7,, HNB,9, 사내,,,,,,,,,,,,
 SN2611, B11GS,21.7,22.9,8.7,, HNB,9, 사내,,,,,,,,,,,,
 SN2611, B11VC,83.8,45.8,33.9,0, 8QC,4, 사내, PE(PRE-ERECTION),20240306,,,, 12일, 탑재(ERECTION),20240306, 3D, 건조2부건조2과,,
 SN2611, B15VC,90.7,45.8,33.9,0, 2P2,22, 사내, PE(PRE-ERECTION),20240308,,,, 14일, 탑재(ERECTION),20240308, 3D, 건조2부건조2과,,
 SN2611, B20GC,14.3,38.6,7.7,0, 2B8,51, 사내, PE(PRE-ERECTION),20240220,,,, 3일, 도장(Paint),20240226, 3K, 선행도장부선행도장1과,,
 SN2611, D110C,19.6,20,3.5,53, 5K,6, 사내, 도장(Paint),20240228,,,, 10일, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2611, D120C,15.9,19.9,2.7,47, 3R42,2, 사내, 도장(Paint),20240304, 선행의장,20240213,20240219, 10일, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2611, D130C,15.5,19.9,1.9,48, 3U,2, 사내, 도장(Paint),20240304, 선행의장,20240123,20240125, 10일, 올리기(BLOCK LIFT UP),20240304,,,,
 SN2611, D140C,20,19.9,1.9,57, DK1,1, 사외, 내업의장,20240205,,,, 0일, 도장(Paint),20240223, 3K, 선행도장부선행도장1과,,
 SN2611, D150C,15.5,19.9,2.7,43, OBI,1, 사외, 내업의장,20240208,,,, -17일, 도장(Paint),20240223, 3K, 선행도장부선행도장1과,20240206,
 SN2611, D160C,15,19.9,1.9,43, 3R51,1, 사내, 내업의장,20240219, 선행의장,20240219,20240222, 4일, 도장(Paint),20240227, 3K, 선행도장부선행도장1과,,
 SN2611, D170C,20,19.9,1.9,57, HSG2,1, 사외, 내업의장,20240205, 선행의장,20240205,20240205, 5일, 도장(Paint),20240228, FPS, 선행도장부선행도장3과,,
 SN2611, D180C,15.5,19.9,2.7,45, OBI,1, 사외, 내업의장,20240227, 조립,20240201,20240131, -2일, 도장(Paint),20240304, FPS, 선행도장부선행도장3과,20240221,
 SN2611, D200C,17.5,19.9,1.9,43, HSG2,1, 사외, 대조립(ASSEMBLY),20240208, 조립,20240208,20240208, 6일, 내업의장,20240226, 3J, 선행의장부선행의장1과,20240229,
 SN2611, D210C,19.6,19.9,2.7,52, HSG2,1, 사외, 대조립(ASSEMBLY),20240208, 조립,20240213,20240208, 6일, 내업의장,20240226, 3J, 선행의장부선행의장1과,20240229,
 SN2611, D310S,19.6,13.5,4.3,33, 3K,14, 사내, 도장(Paint),20240223, 선행의장,20240126,20240201, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2611, D31GP,51,13.8,8.6,0, 3C,5, 사내, PE(PRE-ERECTION),20240312,,,, 25일, 탑재(ERECTION),20240319, 3D, 건조2부건조2과,,
 SN2611, D320S,15.9,13.5,4.2,25, 3H,7, 사내, 도장(Paint),20240227,,,, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
 SN2611, D330S,15.5,13,4.2,24, 3L,7, 사내, 도장(Paint),20240227,,,, 4일, 올리기(BLOCK LIFT UP),20240227,,,,
